,City,Lat,Lng,Country,Date,Max Temp(Â°F) ,Humidity(%),Cloudiness(%),Wind Speed(mph),Max Temp,Humidity,Cloudiness,Wind Speed
1,sychevka,55.83,34.27,RU,1551656382,,,,,25.6,96.0,80.0,2.95
3,ishim,56.11,69.47,RU,1551656383,,,,,29.29,92.0,88.0,20.96
4,den helder,52.96,4.76,NL,1551656332,,,,,55.0,81.0,75.0,28.86
5,ilinskiy,55.62,38.12,RU,1551654000,,,,,21.2,92.0,0.0,4.47
6,sopelana,43.38,-2.98,ES,1551656284,,,,,62.6,45.0,0.0,18.34
7,krasnoborsk,61.56,45.93,RU,1551656384,,,,,-5.91,69.0,0.0,3.06
8,zhaoyang,42.68,126.03,CN,1551656384,,,,,36.31,62.0,48.0,3.18
9,zapadnaya dvina,56.26,32.09,RU,1551656128,,,,,29.11,91.0,92.0,8.21
10,rtishchevo,52.26,43.79,RU,1551656385,,,,,23.44,91.0,88.0,17.72
12,wattegama,7.35,80.68,LK,1551656385,,,,,66.5,96.0,24.0,2.73
13,viking,53.1,-111.78,CA,1551656386,,,,,-2.13,78.0,0.0,11.23
15,djambala,-2.55,14.76,CG,1551656387,,,,,68.08,96.0,36.0,6.53
16,nara,34.68,135.8,JP,1551655865,,,,,51.01,100.0,75.0,2.24
17,casper,42.87,-106.31,US,1551656118,,,,,8.01,60.0,40.0,8.05
18,boone,36.22,-81.67,US,1551656343,,,,,46.99,100.0,1.0,0.38
19,kichera,55.93,110.1,RU,1551656388,,,,,7.1,70.0,0.0,2.95
20,ahraura,25.02,83.02,IN,1551652200,,,,,59.0,87.0,40.0,2.24
21,paso de los toros,-32.81,-56.52,UY,1551656389,,,,,71.77,64.0,0.0,12.46
22,coxim,-18.5,-54.75,BR,1551656389,,,,,77.35,75.0,12.0,3.29
23,monchegorsk,67.94,32.93,RU,1551656389,,,,,-9.6,64.0,32.0,2.39
24,morris,41.36,-88.42,US,1551656107,,,,,19.4,44.0,1.0,13.87
25,nevelsk,46.67,141.86,RU,1551654000,,,,,12.2,92.0,64.0,8.21
26,boundiali,9.53,-6.48,CI,1551656393,,,,,69.34,31.0,0.0,8.77
27,junagarh,19.86,82.94,IN,1551656394,,,,,66.1,96.0,24.0,2.51
28,stryn,61.9,6.72,NO,1551656359,,,,,37.99,92.0,0.0,14.99
29,atasu,48.68,71.64,KZ,1551656395,,,,,31.13,90.0,88.0,15.7
30,vinhedo,-23.03,-46.98,BR,1551655938,,,,,73.99,94.0,75.0,8.05
31,kalanguy,51.01,116.52,RU,1551656396,,,,,13.72,67.0,64.0,3.06
32,barpeta,26.33,91.01,IN,1551654000,,,,,64.4,77.0,75.0,3.36
33,tres arroyos,-38.38,-60.28,AR,1551656136,,,,,73.57,55.0,92.0,15.48
34,vung tau,10.35,107.08,VN,1551656397,,,,,76.99,100.0,0.0,7.2
35,leon,40.74,-93.75,US,1551655916,,,,,5.0,54.0,1.0,13.87
36,jinan,36.65,117.11,CN,1551656398,,,,,35.36,77.0,0.0,5.3
37,cherepanovo,54.23,83.37,RU,1551656398,,,,,29.78,91.0,80.0,10.45
38,petatlan,17.52,-101.27,MX,1551653340,,,,,86.0,66.0,5.0,11.41
39,villacarrillo,38.12,-3.08,ES,1551656399,,,,,40.9,85.0,8.0,5.53
40,bo phloi,14.32,99.52,TH,1551655957,,,,,86.0,70.0,0.0,3.62
41,nioaque,-21.16,-55.83,BR,1551656400,,,,,82.93,34.0,0.0,8.99
42,shirokiy,53.87,39.17,RU,1551656348,,,,,28.99,74.0,88.0,3.0
43,chornukhy,50.27,32.94,UA,1551656401,,,,,30.68,85.0,76.0,17.27
44,sao gabriel da cachoeira,-0.13,-67.09,BR,1551656156,,,,,76.72,92.0,20.0,2.28
45,east london,-33.02,27.91,ZA,1551656401,,,,,74.83,100.0,0.0,16.37
46,changtu,42.78,124.11,CN,1551656402,,,,,33.7,87.0,92.0,3.18
48,kyaikkami,16.08,97.57,MM,1551656402,,,,,71.05,87.0,0.0,2.95
49,zemio,5.02,25.13,CF,1551656412,,,,,68.08,74.0,12.0,2.84
50,simbahan,6.3,120.58,PH,1551656413,,,,,80.9,98.0,8.0,11.79
52,sungai udang,5.16,100.43,MY,1551654000,,,,,78.8,83.0,75.0,2.24
53,fare,-16.7,-151.02,PF,1551656414,,,,,83.33,100.0,80.0,2.62
54,omura,32.92,129.95,JP,1551656407,,,,,55.0,93.0,75.0,5.82
55,necochea,-38.55,-58.74,AR,1551656292,,,,,72.0,60.0,92.0,3.0
56,dongkan,34,119.83,CN,1551656415,,,,,38.56,80.0,0.0,3.62
57,upernavik,72.79,-56.15,GL,1551656415,,,,,8.95,100.0,32.0,3.29
58,jumla,29.28,82.18,NP,1551656317,,,,,11.33,100.0,0.0,2.28
59,calvinia,-31.47,19.78,ZA,1551656416,,,,,52.24,67.0,0.0,3.18
60,whitley bay,55.04,-1.44,GB,1551656015,,,,,42.01,100.0,75.0,10.29
61,vieques,18.43,-65.83,PR,1551656127,,,,,78.8,69.0,20.0,10.29
62,sretensk,52.24,117.7,RU,1551656417,,,,,12.28,68.0,68.0,2.51
63,two hills,53.71,-111.75,CA,1551656417,,,,,1.43,76.0,0.0,11.12
64,serra,-20.13,-40.31,BR,1551654000,,,,,82.4,83.0,20.0,8.05
65,marshall,39.39,-87.69,US,1551656130,,,,,27.0,67.0,75.0,10.29
66,namalenga,-10.95,39.1,TZ,1551656419,,,,,71.41,96.0,36.0,1.72
67,paredon,-18.93,-65.16,BO,1551656419,,,,,55.84,73.0,12.0,1.95
68,bondowoso,-7.91,113.82,ID,1551656422,,,,,77.3,89.0,24.0,3.18
69,killarney,-28.34,152.3,AU,1551656146,,,,,81.0,74.0,24.0,8.99
70,changde,29.04,111.68,CN,1551656423,,,,,41.3,89.0,76.0,1.95
71,swift current,50.29,-107.8,CA,1551654000,,,,,-4.01,70.0,1.0,24.16
72,kizhinga,51.85,109.91,RU,1551656424,,,,,11.06,69.0,32.0,3.18
73,kartaly,53.05,60.64,RU,1551656424,,,,,15.56,86.0,36.0,13.02
75,kearney,40.7,-99.08,US,1551656164,,,,,5.0,59.0,1.0,11.41
76,pontes e lacerda,-15.23,-59.33,BR,1551656425,,,,,79.15,84.0,0.0,2.84
77,velsk,61.07,42.1,RU,1551656425,,,,,10.57,83.0,68.0,4.29
78,amnat charoen,15.86,104.63,TH,1551656426,,,,,72.8,96.0,36.0,4.41
79,larap,14.3,122.65,PH,1551656426,,,,,77.62,100.0,68.0,11.01
80,bordighera,43.79,7.66,IT,1551656276,,,,,50.0,81.0,0.0,8.05
81,teresina,-5.09,-42.81,BR,1551654000,,,,,77.0,83.0,75.0,5.82
82,alamogordo,32.9,-105.96,US,1551656225,,,,,73.4,18.0,1.0,19.46
83,laiyang,36.98,120.7,CN,1551656015,,,,,45.0,50.0,0.0,2.73
84,lashma,54.93,41.14,RU,1551656428,,,,,10.57,77.0,0.0,8.88
85,patillas,18.01,-66.01,PR,1551656427,,,,,78.8,69.0,20.0,10.29
86,mogocha,53.73,119.76,RU,1551656429,,,,,19.12,82.0,88.0,3.51
87,sargatskoye,55.6,73.49,RU,1551656429,,,,,29.96,90.0,88.0,20.4
88,pine bluff,34.23,-92,US,1551655986,,,,,39.2,64.0,90.0,12.75
89,papillion,41.15,-96.04,US,1551656416,,,,,5.0,54.0,1.0,16.11
90,selaphum,16.03,103.94,TH,1551654000,,,,,75.2,94.0,40.0,4.41
91,siuna,13.73,-84.78,NI,1551656430,,,,,74.2,86.0,68.0,2.17
92,jesus del monte,19.11,-99.99,MX,1551653340,,,,,68.0,42.0,75.0,13.87
93,pocone,-16.26,-56.62,BR,1551656431,,,,,81.08,79.0,32.0,2.39
94,tipp city,39.96,-84.17,US,1551656419,,,,,28.4,92.0,90.0,6.93
95,qujing,25.49,103.8,CN,1551656432,,,,,51.61,65.0,24.0,13.24
96,severodvinsk,64.56,39.82,RU,1551654000,,,,,6.8,84.0,90.0,2.24
97,ashford,51.15,0.87,GB,1551656321,,,,,50.0,93.0,88.0,24.16
98,bouca,6.51,18.28,CF,1551656433,,,,,71.63,84.0,68.0,3.96
99,san onofre,9.74,-75.52,CO,1551656433,,,,,81.58,79.0,0.0,8.21
100,west odessa,31.84,-102.48,US,1551654900,,,,,32.0,59.0,0.0,12.75
101,tierralta,8.17,-76.06,CO,1551656434,,,,,82.39,73.0,24.0,11.01
102,bethalto,38.91,-90.04,US,1551656244,,,,,21.2,67.0,1.0,18.34
103,la poza,-32.7,-70.91,CL,1551656434,,,,,72.0,72.0,0.0,6.93
104,fairfield,38.25,-122.04,US,1551656431,,,,,62.01,77.0,90.0,12.75
105,rokytne,51.27,27.23,UA,1551656436,,,,,41.75,91.0,92.0,17.83
106,uch,45.32,-0.93,FR,1551656404,,,,,62.6,39.0,0.0,17.22
107,telde,27.99,-15.42,ES,1551656436,,,,,64.4,63.0,20.0,18.34
108,amarpur,23.52,91.65,IN,1551656437,,,,,57.23,88.0,44.0,2.28
109,ankazoabo,-22.29,44.51,MG,1551656438,,,,,70.15,92.0,48.0,3.29
110,guarare,7.82,-80.28,PA,1551656438,,,,,84.41,56.0,0.0,14.14
111,sesheke,-17.47,24.29,NA,1551656438,,,,,72.98,74.0,8.0,2.17
112,srednyaya yelyuzan,53.02,45.95,RU,1551655715,,,,,26.01,93.0,76.0,17.38
113,ballina,54.11,-9.15,IE,1551656292,,,,,41.0,83.0,48.0,3.0
114,hecelchakan,20.17,-90.13,MX,1551653160,,,,,86.0,58.0,5.0,6.93
115,amapa,15.09,-87.97,HN,1551654000,,,,,84.2,66.0,20.0,17.22
116,olavarria,-36.89,-60.32,AR,1551656411,,,,,64.0,90.0,92.0,3.18
117,bela vista de goias,-16.97,-48.95,BR,1551654000,,,,,77.0,78.0,75.0,3.36
118,maralal,1.1,36.7,KE,1551656442,,,,,53.81,91.0,0.0,2.62
119,brcko,44.87,18.81,BA,1551654000,,,,,37.4,61.0,0.0,1.12
120,paradise valley,53.03,-110.3,CA,1551654000,,,,,1.4,59.0,20.0,17.22
121,bayangol,48.91,106.09,MN,1551656443,,,,,16.01,70.0,0.0,2.84
122,la plata,-34.92,-57.95,AR,1551656140,,,,,77.0,69.0,0.0,13.87
123,corowa,-36,146.39,AU,1551655914,,,,,89.01,30.0,0.0,3.36
124,spas,50.05,24.48,UA,1551654000,,,,,42.8,70.0,90.0,11.18
125,almeria,36.84,-2.46,ES,1551655945,,,,,53.6,100.0,90.0,2.24
126,piet retief,-27.01,30.81,ZA,1551655863,,,,,61.55,95.0,92.0,2.73
128,orodara,10.98,-4.92,BF,1551654000,,,,,77.0,23.0,0.0,6.93
129,kozhevnikovo,56.26,83.98,RU,1551656418,,,,,30.99,82.0,80.0,11.01
130,russkaya polyana,53.78,73.88,RU,1551656449,,,,,27.8,86.0,8.0,17.83
131,nueve de julio,-31.67,-68.39,AR,1551656449,,,,,78.79,42.0,0.0,1.95
132,bokhan,53.15,103.77,RU,1551656449,,,,,5.93,61.0,20.0,2.39
133,jashpurnagar,22.88,84.14,IN,1551656450,,,,,56.6,91.0,24.0,2.62
134,sheopur,25.67,76.7,IN,1551656450,,,,,51.7,92.0,0.0,3.62
135,manvi,16,77.05,IN,1551656451,,,,,66.28,62.0,0.0,6.08
136,jingdezhen,29.29,117.2,CN,1551656451,,,,,39.41,82.0,0.0,3.18
137,barbastro,42.04,0.13,ES,1551656117,,,,,51.8,53.0,0.0,4.7
138,marondera,-18.19,31.55,ZW,1551656455,,,,,58.31,82.0,0.0,2.95
139,katsuura,33.93,134.5,JP,1551655483,,,,,50.0,100.0,90.0,4.7
140,kargat,55.19,80.28,RU,1551656456,,,,,29.51,89.0,88.0,18.61
141,wembley,51.55,-0.3,GB,1551656158,,,,,48.99,76.0,80.0,14.99
142,poddorye,57.47,31.12,RU,1551656457,,,,,21.64,83.0,88.0,11.9
143,izamal,20.93,-89.02,MX,1551653220,,,,,95.0,26.0,20.0,10.29
144,fushe-arrez,42.06,20.02,AL,1551656458,,,,,28.66,89.0,0.0,2.39
146,qasigiannguit,68.82,-51.19,GL,1551653400,,,,,19.4,79.0,64.0,4.7
147,sao felix do xingu,-6.64,-51.99,BR,1551656459,,,,,75.37,92.0,32.0,3.4
148,gualaco,15.03,-86.07,HN,1551656460,,,,,73.88,63.0,32.0,1.95
149,owando,-0.49,15.91,CG,1551656460,,,,,74.6,93.0,12.0,2.17
150,marsa matruh,31.35,27.25,EG,1551656461,,,,,55.03,77.0,92.0,6.87
151,yenotayevka,47.24,47.04,RU,1551656461,,,,,25.55,90.0,44.0,14.81
152,sinnamary,5.38,-52.96,GF,1551656462,,,,,80.63,88.0,92.0,12.35
153,jati,24.35,68.27,PK,1551655534,,,,,55.48,92.0,0.0,7.31
154,hithadhoo,-0.6,73.08,MV,1551656463,,,,,83.6,99.0,88.0,11.23
155,shuangcheng,45.37,126.3,CN,1551650400,,,,,19.4,62.0,24.0,2.24
156,el dorado,6.71,-61.64,VE,1551656464,,,,,78.79,65.0,36.0,3.96
158,silver city,32.77,-108.28,US,1551656411,,,,,62.6,29.0,1.0,17.22
159,prachatice,49.01,14,CZ,1551656117,,,,,46.99,75.0,48.0,1.01
160,balila,32.38,35.93,JO,1551654000,,,,,44.6,81.0,36.0,4.63
161,vieux-habitants,16.06,-61.77,GP,1551655800,,,,,77.0,73.0,0.0,8.05
162,ereymentau,51.62,73.1,KZ,1551655528,,,,,30.91,90.0,56.0,9.78
163,zacatlan,19.93,-97.97,MX,1551656466,,,,,74.11,26.0,0.0,2.84
165,dingle,11,122.67,PH,1551656467,,,,,77.62,84.0,56.0,8.1
166,alyangula,-13.85,136.42,AU,1551654000,,,,,84.2,83.0,12.0,7.99
168,brandon,43.59,-96.57,US,1551656312,,,,,-2.01,64.0,1.0,19.46
170,tieli,46.98,128.05,CN,1551656469,,,,,26.95,57.0,0.0,2.62
171,ranfurly,53.41,-111.68,CA,1551656469,,,,,-2.13,78.0,0.0,11.23
172,yelan,50.95,43.74,RU,1551656047,,,,,25.0,84.0,88.0,5.01
173,baghmara,23.8,86.21,IN,1551656470,,,,,63.26,95.0,56.0,0.72
174,zhucheng,30.85,114.8,CN,1551654000,,,,,42.8,87.0,0.0,8.95
175,waipawa,-39.94,176.59,NZ,1551656356,,,,,75.0,51.0,0.0,7.0
176,hengshan,23.54,112.37,CN,1551656471,,,,,60.79,99.0,92.0,3.51
177,orangeburg,33.49,-80.86,US,1551656410,,,,,66.99,93.0,90.0,13.87
178,kyabe,9.45,18.94,TD,1551656472,,,,,77.21,28.0,24.0,9.22
179,dubbo,-32.25,148.6,AU,1551654000,,,,,80.6,39.0,0.0,17.22
180,yatou,3.63,9.81,CM,1551654000,,,,,78.8,100.0,75.0,2.24
181,dauriya,49.93,116.85,RU,1551656473,,,,,18.08,69.0,56.0,5.41
182,priiskovyy,51.93,116.63,RU,1551656476,,,,,17.32,68.0,36.0,5.41
183,olden,61.84,6.81,NO,1551656359,,,,,37.99,92.0,0.0,14.99
184,crixas,-14.55,-49.97,BR,1551656323,,,,,73.57,90.0,68.0,3.18
185,balotra,25.83,72.24,IN,1551656481,,,,,56.02,93.0,0.0,8.77
186,gandajika,-6.75,23.95,CD,1551656481,,,,,71.45,97.0,68.0,3.4
187,dickinson,46.88,-102.79,US,1551656110,,,,,-1.0,64.0,20.0,27.51
188,dikson,73.51,80.55,RU,1551656471,,,,,-5.14,95.0,36.0,24.32
189,thai binh,20.45,106.33,VN,1551654000,,,,,73.4,78.0,75.0,4.7
190,blackfoot,43.19,-112.35,US,1551656471,,,,,33.8,55.0,20.0,6.93
191,del rio,29.36,-100.9,US,1551653880,,,,,53.6,71.0,90.0,13.87
192,karatau,43.18,70.46,KZ,1551656432,,,,,34.0,51.0,36.0,3.0
194,baoro,5.69,15.95,CF,1551656483,,,,,67.58,98.0,80.0,3.18
195,ambalavao,-21.83,46.94,MG,1551656484,,,,,63.94,99.0,88.0,2.39
197,palora,-1.7,-77.97,EC,1551654000,,,,,77.0,73.0,40.0,2.24
198,markova,52.21,104.21,RU,1551656430,,,,,21.0,92.0,0.0,2.17
200,erenhot,43.65,111.97,CN,1551656485,,,,,13.58,62.0,20.0,2.17
201,hoopstad,-27.83,25.91,ZA,1551656486,,,,,63.53,84.0,0.0,3.18
202,dabhol,17.6,73.17,IN,1551656486,,,,,68.66,100.0,0.0,7.31
205,moroto,2.53,34.66,UG,1551656487,,,,,58.63,88.0,8.0,2.39
206,artesia,32.84,-104.4,US,1551654900,,,,,33.8,52.0,90.0,14.99
208,solvychegodsk,61.33,46.92,RU,1551656488,,,,,-7.39,74.0,0.0,3.51
209,safonovo,55.11,33.24,RU,1551656488,,,,,29.47,95.0,92.0,9.78
210,saint john,45.28,-66.06,CA,1551656328,,,,,28.4,68.0,40.0,8.05
211,tocache,-8.19,-76.51,PE,1551656489,,,,,62.0,93.0,44.0,0.72
212,kalaiya,27.03,85,NP,1551656489,,,,,50.17,87.0,8.0,3.06
213,wahpeton,46.27,-96.61,US,1551656425,,,,,-1.0,70.0,40.0,13.87
214,elk city,35.41,-99.4,US,1551656051,,,,,26.6,57.0,40.0,23.04
215,vermillion,42.78,-96.93,US,1551656462,,,,,1.4,49.0,1.0,16.11
217,santa catarina de tepehuanes,25.34,-105.72,MX,1551656491,,,,,75.64,14.0,0.0,9.22
218,lebanon,43.64,-72.25,US,1551656240,,,,,34.0,50.0,90.0,3.36
219,palimbang,14.9,120.78,PH,1551656241,,,,,79.0,88.0,75.0,4.7
220,papara,-3.98,-38.73,BR,1551656293,,,,,81.0,78.0,20.0,3.36
221,enkoping,59.64,17.08,SE,1551656470,,,,,30.99,92.0,88.0,6.93
223,dalvik,57.79,14.13,SE,1551656404,,,,,37.99,93.0,92.0,4.7
224,palmas bellas,9.23,-80.09,PA,1551656401,,,,,84.2,62.0,20.0,8.05
225,lena,32.59,-89.61,US,1551656108,,,,,44.6,93.0,90.0,10.29
226,posse,-14.08,-46.36,BR,1551656494,,,,,70.69,87.0,76.0,3.62
228,jaguarari,-10.26,-40.2,BR,1551656495,,,,,72.71,83.0,76.0,6.76
229,marawi,8,124.29,PH,1551655891,,,,,75.99,83.0,0.0,5.01
230,san fernando,10.28,-61.46,TT,1551656407,,,,,75.2,88.0,75.0,10.29
231,gistrup,56.99,9.99,DK,1551656336,,,,,41.0,95.0,92.0,10.67
232,freetown,26.61,-78.36,BS,1551654000,,,,,77.0,83.0,40.0,10.29
233,vangaindrano,-23.35,47.6,MG,1551656498,,,,,73.21,90.0,80.0,2.17
234,zvenigovo,55.97,48.02,RU,1551654000,,,,,19.4,92.0,75.0,8.95
235,suslovo,56.22,88.12,RU,1551656499,,,,,30.91,87.0,88.0,9.22
236,schruns,47.08,9.92,AT,1551656416,,,,,48.0,75.0,20.0,1.12
237,gangelt,50.99,6,NL,1551656499,,,,,55.99,71.0,90.0,25.28
238,agnibilekrou,7.13,-3.2,CI,1551656500,,,,,73.75,64.0,0.0,2.17
239,southbridge,42.08,-72.03,US,1551656471,,,,,37.4,59.0,90.0,10.29
240,seguela,7.96,-6.67,CI,1551656504,,,,,75.46,36.0,8.0,6.76
241,anuradhapura,8.34,80.41,LK,1551656504,,,,,68.71,91.0,0.0,3.4
242,mwandiga,-4.84,29.66,TZ,1551656505,,,,,72.67,100.0,80.0,3.85
243,sangmelima,2.93,11.98,CM,1551656505,,,,,71.05,94.0,24.0,2.95
244,aurillac,44.93,2.44,FR,1551655835,,,,,55.99,60.0,0.0,9.17
245,gorodishche,53.27,45.7,RU,1551655715,,,,,26.01,93.0,80.0,11.01
246,taree,-31.91,152.46,AU,1551655804,,,,,80.01,54.0,12.0,11.41
247,amazar,53.86,120.88,RU,1551656507,,,,,17.77,79.0,80.0,2.73
